20d6174b,עולים חדשים זכאים לסבסוד מעונות?,האם עולים חדשים מקבלים השתתפות בתשלום מעונות לילדים?,TRUE,"מי זכאי?
הסיוע ניתן לאוכלוסיות הבאות (תנאי הזכאות של כל אוכלוסייה מפורטים בכל אחד מהערכים). כדי להיות זכאים לסיוע במימון שכר הלימוד שני ההורים צריכים להשתייך לאחת האוכלוסיות:
הורים עובדים
הורים לומדים
הורים שהם עולים חדשים
הורים שהם תושבים חוזרים
הורים שמקבלים דמי אבטלה
הורים שהם חיילים בשירות חובה
הורים שהם מתנדבים בשירות לאומי-אזרחי
הורים שמקבלים קצבת נכות
הורים שמקבלים הבטחת הכנסה"
3ed0023f,מי מההורים הגרושים זכאי לפרטי ההיסטוריה הרפואית של הילד?,במקרה של הורים גרושים מי זכאי לפרטי קופת החולים של הילד?,TRUE,"קופות החולים צריכות לאפשר לשני ההורים גישה למידע אודות ילדם הכלול באתר האינטרנט של הקופה, לרבות על-ידי מתן סיסמת גישה לכל אחד מההורים.

החובה חלה על קופות החולים בלי קשר לשאלה אם ההורים נשואים, גרושים או בנפרד.
אין חובה לאפשר להורה שהאפוטרופסות שלו על הילד נשללה, גישה למידע רפואי של ילדו."
f4e053e2,באיזה שפות ניתן לקבל קורס פסיכומטרי בחינם?,,TRUE,"תקציר
מערך הדיגיטל הלאומי, בשיתוף המרכז הארצי לבחינות ולהערכה, מציע קורס הכנה מקוון לבחינה הפסיכומטרית בחינם או בתשלום סמלי.

הקורס כולל מסלול בסיסי בחינם, ומסלול מתוגבר בעלות של 720 ש""ח (נכון לאוגוסט 2024).
הקורס ניתן בשפה העברית ובשפה הערבית."
4288234b,כמה מקבלים ניצולי שואה מבולגריה?,מהו סכום המענק שמגיע ליהודים שחיו בבולגריה בתקופת מלחמת העולם השניה?,TRUE,"התשלום הינו בסך של 2,556 אירו (כ-13,000 ₪)."
4f678649,הורים שכולים זכאים להלוואה מהמדינה?,"האם הורים לחללי צה""ל זכאים להלוואה ללא ריבית?",TRUE,"תקציר
הורים של חללי צה""ל וכוחות הביטחון זכאים לקבל הלוואות לרגל בר/בת המצווה והנישואין של ילדיהם (האחים והאחיות השכולים)."
7d3118e5,צריך אישור מההורים כשאוספים מידע על תלמידים לצורכי מחקר?,איסוף מידע על תלמידים במחקר אישור הורים,TRUE,"איסוף מידע אודות תלמידים לצורך מחקר
באיסוף מידע המחייב את ציון זהותם של תלמידים נדרשת הסכמת התלמידים בעל-פה והסכמת ההורים מראש ובכתב."
4c43eb4e,כיצד ניתן לבחון זכאות להנחה בארנונה למשרתי מילואים?,בדיקת זכאות מפקדי מילואים להנחה בארנונה,TRUE,"הנחה בארנונה
מפקדים במילואים עשויים להיות זכאים להנחה בשיעור של עד 25% מתשלום הארנונה שהם משלמים על דירתם.
ההנחה היא על 100 מ""ר מהנכס.
הנחה זו היא הנחת רשות - הרשות המקומית רשאית שלא להעניק אותה או לקבוע ולפרסם כללים מסוימים לגביה.
כדי לבדוק את הזכאות יש לפנות לרשות המקומית.
למידע נוסף ראו הנחה בארנונה למפקדים במילואים."
1bcbadc0,אישה בת 62 זכאית להנחת בארנונה עבור בית העסק שלה?,האם נשים בגדיל 62 זכאיות להנחת מיסי ארנונה עבור בית עסק?,TRUE,"מי זכאי?
מחזיק בנכס שמתקיימים לגביו כל התנאים הבאים:
הוא בעל העסק ואין בבעלותו עסק נוסף.
עבור בעל עסק שהוא גבר - גילו 65 שנים לפחות ועבור בעלת עסק שהיא אישה - גילה 60 שנים לפחות.
שטח העסק אינו עולה על 75 מ""ר.
הוא עוסק שמחזור העסקאות שלו בכל עסקיו אינו עולה על 240,000 ₪.
הוא זכאי להנחה בארנונה הניתנת לבעלי הכנסה נמוכה בעד דירת המגורים שהוא מחזיק בה."
46583d16,עיוורים זכאים לסיוע בשכר דירה?,יש הנחה בשכר דירה לעיוורים?,FALSE,"עיוורים ולקויי ראייה עשויים להיות זכאים לקבלת סיוע בשכר דירה, על-פי הקריטריונים של משרד הבינוי והשיכון.

לפרטים נוספים לגבי תנאי הסיוע, ראו קבלת סיוע בשכר דירה."
371d0cb5,חיילים יכולים להבציע הקלפי אזרחי?,האם משרתי חובה יכולים להצביע לבחירות הארציות בקלפי אזרחי?,TRUE,"חייל שהצביע בקלפי אזרחית, אינו רשאי להצביע גם בקלפיות המיוחדות לחיילים."
